resource_condition,gender,perceived_precariousness,position_evaluation,anticipated_acceptance,anticipated_influence
No social resources,male,4.945084752916082,4.32899691575986,3.7395332035535853,2.6712862446937895
Social and financial resources,female,4.559267398884974,4.087867217995366,5.989341925077585,3.894245586810697
Social and financial resources,female,4.275582326371778,4.942349028463886,3.1140432089038392,5.076399505877202
No financial resources,male,5.264281460644958,3.5635655916522992,6.153990725735505,5.322757774485001
No financial resources,male,3.508930703585524,3.329285835767025,3.939365701591412,4.552981311273714
Social and financial resources,female,3.1953721483824586,1.2287824499273072,6.101330359692911,6.537247297421002
Social and financial resources,female,6.792705079703348,1.7253887025711991,2.918953056139468,1.883767810979668
No social resources,female,6.842610931756797,5.46316591396433,2.9349500107178317,2.6748399789175643
No financial resources,female,6.939082592576205,6.240126031575321,4.774738224249376,2.182953993513025
Social and financial resources,female,5.246106616525847,3.3959824384539896,4.10467088821198,4.14974415633467
No financial resources,female,5.756079593188077,2.9992434943081725,3.40351262690612,1.959658200259763
No social resources,male,3.498339095878168,3.473570475613615,4.551898742772553,2.8731014878592207
No financial resources,male,5.7369495470321725,2.763570600784992,2.297488819819608,3.2970929515354475
Social and financial resources,male,3.8289543012391674,5.3582307645175655,5.52748643625086,2.976593547266746
Social and financial resources,female,5.637058447277217,1.1094869691510338,3.4588553020775015,3.9276914077599603
No social resources,male,4.811693837266931,2.2767514513607376,3.7496950008524204,1.2924390668462915
No social resources,male,4.749985815587808,3.2036811755656154,3.9637816758162057,5.247599515664606
No social resources,female,5.276060735728891,3.7806219105407837,4.209895424373716,3.9845576931294038
Social and financial resources,female,5.009320866560532,5.084643636057702,3.8114763595932684,4.864172746627075
No social resources,male,5.62086555864617,3.165484942783642,3.2716946060615304,1.331955997270153
No financial resources,male,5.723386263451736,5.2155303244814935,5.697394587524891,5.857142232653521
Social and financial resources,female,5.29639744939012,1.7345016274852794,5.326259150587386,5.547226186361769
Social and financial resources,male,5.37907536035351,3.923736999666683,4.192455029426105,4.596075466745102
No financial resources,male,5.357396021040503,5.503590186916762,4.107312627110055,1.3703380361940374
No social resources,female,6.776570524365139,1.6916304380362055,3.1669738571992454,2.1104722128633044
No financial resources,female,4.634177363350431,3.009013014554182,4.009507865266137,5.147699044136356
No financial resources,female,4.500305179759712,2.9980929935179255,3.360007684989385,3.869434345534458
No social resources,male,6.353248921451764,3.140025805178505,4.23487036505142,3.6735098983931955
No financial resources,male,5.413443894477786,6.953333376710499,4.351785692590189,1.9400007947834519
No social resources,male,5.113597341273641,3.3444885759188443,4.437938520060718,2.0017495095329503
No social resources,female,5.886557211211076,3.6291640592299865,3.4488607425247535,5.692843671319745
No financial resources,male,5.765435746410272,4.777580374220461,2.786916314363766,2.441927928195372
Social and financial resources,female,4.9915976188713085,5.777049320681292,2.7042583175891837,3.057888905878372
No social resources,male,3.979406641431988,3.9574153785048405,4.552388287595887,3.194754775416033
Social and financial resources,male,5.86812216083507,4.554733501920303,3.7402236489878793,4.729264350832562
No financial resources,male,5.97485018469398,5.79201564788683,2.9582376118499343,3.0005023904528842
No financial resources,female,5.873061743750021,4.362984135636974,3.585575832147656,6.998875114021276
Social and financial resources,female,3.510185936959336,2.6975809779261555,4.3206464300491945,4.185620678073811
